# topic | definition | situation | appropriate action | misconception | correction | evidence to check | limitation
[pa-u1]
Periodic distance viewing | Taking short opportunities to look away from close screen work | A student stares continuously at nearby text for a long session without visual breaks. | Use appropriate distance-viewing breaks such as the 20-20-20 guideline. | Eye breaks cure every eye disorder and replace professional advice. | Breaks are a comfort guideline, not diagnosis or treatment for all conditions. | The study routine includes actual distance-viewing pauses rather than uninterrupted staring. | Persistent or serious symptoms need appropriate professional assessment.
Indoor air quality | Maintaining suitable ventilation and addressing sources of contaminated or stale indoor air | A crowded room feels persistently stale and its ventilation has not been checked. | Report the condition and have responsible personnel assess ventilation and pollutant sources. | Air freshener proves that air is clean and adequately ventilated. | A scent can mask odour without correcting ventilation or contamination. | The responsible assessment confirms an appropriate functioning ventilation arrangement. | Ventilation alone does not eliminate every health risk or replace source control.
Safe drinking-water arrangements | Providing a safe water source and hygienic storage or dispensing | A water dispenser's outlet is dirty and users share an unwashed cup. | Arrange approved cleaning and provide hygienic drinking arrangements with a safe supply. | Clear-looking water and a pleasant smell prove that every dispenser is hygienic. | Appearance alone cannot establish water safety or cleanliness of handling equipment. | The supply and dispenser follow the approved hygiene and maintenance process. | Suspected contamination requires responsible action, not tasting to test safety.
Safe housekeeping | Keeping work areas clean without introducing new slip, chemical or electrical hazards | A spill near office equipment is left uncovered in a busy walking path. | Warn others and arrange prompt safe cleaning under the relevant workplace procedure. | Covering liquid with loose paper permanently removes the slip hazard. | Loose covering can conceal the wet surface or create another unstable layer. | The area is dry and safe before normal access resumes. | Spills near electricity or unknown substances need authorised assessment rather than routine wet cleaning.
Responding to persistent discomfort | Reporting continuing symptoms and seeking suitable assessment instead of ignoring them | A worker's wrist pain continues despite repeated changes in mouse position. | Report the persistent symptoms and seek appropriate medical and ergonomic advice. | A colleague's prescription medicine is an appropriate substitute for assessment. | Persistent symptoms should not be managed by taking someone else's prescribed medication. | The worker obtains appropriate advice and a reviewed work arrangement rather than continuing unchanged. | Online posture tips cannot diagnose the cause of an individual's pain.
[u4-ch15]
Prompt safe evacuation | Leaving danger through an available safe route without delaying for property | A fire alarm sounds while a worker wants to finish copying files to a drive. | Follow the evacuation plan promptly instead of delaying departure to protect files. | Finishing every computer task must always come before leaving after a fire alarm. | Life safety takes priority over saving property or completing routine work. | The worker follows a safe exit route without delaying to collect belongings or finish copying. | The actual site plan and emergency officials' instructions govern the response.
Safe route selection | Choosing a usable escape route according to conditions and the emergency plan | Smoke blocks the usual corridor while a marked authorised alternative is clear. | Use the safe available alternative consistent with the plan and official instructions. | A familiar route remains safe regardless of smoke or other changed conditions. | An ordinary exit path can become unsafe during an emergency. | Evacuees use a clear permitted route rather than entering the smoke-filled corridor. | Untrained people should not investigate dangerous routes to prove they are blocked.
Assembly and headcount | Gathering evacuees at the designated point so their presence can be checked | Several students leave the building but wander away without reporting to the group. | Go to the designated assembly point and participate in the headcount. | Leaving the building makes headcount unnecessary. | Responders need to know who is accounted for and who may still be missing. | The responsible official has an accurate account of the assembled group. | A missing person should be reported to officials, not searched for by untrained evacuees.
Authorised re-entry | Waiting for official clearance before returning to an evacuated area | Someone wants to return for a bag because visible flames are no longer apparent. | Stay outside until the responsible emergency authority permits re-entry. | Absence of visible flames proves that every part of the building is safe. | Smoke, structural, electrical or other dangers can remain without visible flame. | Re-entry occurs only after the appropriate responsible clearance. | Bystanders should not substitute their own inspection for trained assessment.
Fire triangle reasoning | Understanding fuel, heat and oxygen as necessary elements of ordinary combustion | A learner studies why an appropriate extinguisher can interrupt a small fire. | Relate the approved extinguishing method to removing or disrupting a required fire element. | Smoke is one of the three necessary fire-triangle elements. | The conventional triangle consists of fuel, heat and oxygen, not smoke. | The explanation identifies the relevant fire element affected by the described method. | Understanding the triangle does not qualify an untrained person to fight a fire.
Limits on extinguisher use | Restricting fire-fighting attempts to trained people with suitable equipment and safe escape | A bystander sees a growing fire with smoke cutting off the escape route. | Raise the alarm, evacuate and call trained emergency help rather than attempting to fight it. | Knowing the letters PASS makes every fire safe to tackle. | Training, the correct extinguisher, controllable conditions and a clear escape route are essential. | No untrained attempt delays evacuation or traps someone near the growing fire. | Even a trained person's attempt must stop if conditions are unsafe.
Electrical incident isolation | Avoiding contact and obtaining safe power isolation before any contact-based assistance | A person is still touching a damaged live appliance. | Keep clear, call emergency help and arrange power isolation only from a safe control or by authorised personnel. | Pulling the person away with bare hands cannot put the helper at risk. | Contact can make the helper another electrical casualty while the source remains live. | People stay clear and appropriate responders address the live source safely. | Improvised rescue methods and treatment should not replace trained or dispatcher guidance.
Clear emergency reporting | Communicating location, incident type and known hazards to emergency services | A caller reports an accident but gives no usable location. | State the exact location and incident details clearly, then follow dispatcher instructions. | Giving the caller's name alone always tells responders where to go. | Responders need actionable location and incident information to reach the scene appropriately. | The dispatcher has the correct location and relevant known hazards. | Do not invent details; distinguish observed facts from uncertainty.
Preserving incident evidence safely | Retaining useful information after immediate danger and rescue priorities are addressed | After an incident, workers want to discard a damaged part before authorised investigation. | Follow reporting instructions and preserve relevant evidence only when safe and without obstructing response. | Evidence preservation requires leaving people exposed to an ongoing hazard. | Immediate safety and emergency response take priority over preserving an unchanged scene. | Useful details are recorded or protected without delaying help or allowing continued danger. | Only authorised people should handle hazardous damaged equipment.
